"NAVDate","NAVPrice","NAVCurrency","AUMSize","AUMCurrency"
"20 nov. 2025","110,3700","EUR","297,1832M","EUR"
"19 nov. 2025","110,1900","EUR","296,6824M","EUR"
"18 nov. 2025","109,8100","EUR","295,6863M","EUR"
"17 nov. 2025","111,3900","EUR","300,0129M","EUR"
"14 nov. 2025","112,1600","EUR","302,2059M","EUR"
"13 nov. 2025","113,3500","EUR","305,3711M","EUR"
"12 nov. 2025","113,5900","EUR","306,0733M","EUR"
"11 nov. 2025","112,6700","EUR","303,5981M","EUR"
"10 nov. 2025","111,1500","EUR","299,4968M","EUR"
"07 nov. 2025","109,8000","EUR","295,9874M","EUR"
"06 nov. 2025","110,5500","EUR","301,8382M","EUR"
"05 nov. 2025","111,5000","EUR","304,5792M","EUR"
"04 nov. 2025","111,1000","EUR","303,5223M","EUR"
"03 nov. 2025","111,2000","EUR","303,7333M","EUR"
"31 oct. 2025","111,3400","EUR","304,1504M","EUR"
"30 oct. 2025","112,2500","EUR","306,5966M","EUR"
"29 oct. 2025","112,3800","EUR","306,9561M","EUR"
"28 oct. 2025","112,7900","EUR","308,1509M","EUR"
"27 oct. 2025","113,0200","EUR","308,8413M","EUR"
"24 oct. 2025","112,5700","EUR","307,7639M","EUR"
"23 oct. 2025","111,8200","EUR","305,7213M","EUR"
"22 oct. 2025","111,3200","EUR","304,3486M","EUR"
"21 oct. 2025","111,8400","EUR","305,8308M","EUR"
"20 oct. 2025","111,3300","EUR","304,4521M","EUR"
"17 oct. 2025","110,0200","EUR","300,9611M","EUR"
"16 oct. 2025","111,0200","EUR","303,6497M","EUR"
"15 oct. 2025","110,1700","EUR","301,3803M","EUR"
"14 oct. 2025","109,5000","EUR","299,6330M","EUR"
"13 oct. 2025","110,1000","EUR","301,2491M","EUR"
"10 oct. 2025","109,6500","EUR","299,9359M","EUR"
"09 oct. 2025","110,9600","EUR","303,5286M","EUR"
"08 oct. 2025","111,2900","EUR","304,3747M","EUR"
"07 oct. 2025","110,4900","EUR","302,4201M","EUR"
"06 oct. 2025","110,9900","EUR","303,8193M","EUR"
"03 oct. 2025","111,0600","EUR","304,0755M","EUR"
"02 oct. 2025","110,6700","EUR","303,0030M","EUR"
"01 oct. 2025","109,9300","EUR","300,8322M","EUR"
"30 sept. 2025","108,1700","EUR","296,0400M","EUR"
"29 sept. 2025","107,4600","EUR","294,0397M","EUR"
"26 sept. 2025","107,2100","EUR","293,3782M","EUR"
"25 sept. 2025","106,3900","EUR","297,1157M","EUR"
"24 sept. 2025","107,2000","EUR","299,4514M","EUR"
"23 sept. 2025","107,7400","EUR","300,9687M","EUR"
"22 sept. 2025","107,5400","EUR","300,4479M","EUR"
"19 sept. 2025","107,7400","EUR","301,0561M","EUR"
"18 sept. 2025","108,1200","EUR","302,1042M","EUR"
"17 sept. 2025","106,9200","EUR","298,7887M","EUR"
"16 sept. 2025","106,8500","EUR","298,5917M","EUR"
"15 sept. 2025","107,9800","EUR","301,8083M","EUR"
"12 sept. 2025","107,8100","EUR","301,4116M","EUR"
"11 sept. 2025","107,7200","EUR","301,0914M","EUR"
"10 sept. 2025","107,3400","EUR","300,0518M","EUR"
"09 sept. 2025","107,8100","EUR","301,3214M","EUR"
"08 sept. 2025","107,6800","EUR","301,0929M","EUR"
"05 sept. 2025","107,1700","EUR","299,6612M","EUR"
"04 sept. 2025","107,1900","EUR","299,6946M","EUR"
"03 sept. 2025","106,4900","EUR","297,7794M","EUR"
"02 sept. 2025","105,5200","EUR","295,0412M","EUR"
"01 sept. 2025","106,8000","EUR","298,5510M","EUR"
"29 août 2025","106,6300","EUR","298,0611M","EUR"
"28 août 2025","107,6800","EUR","300,9279M","EUR"
"27 août 2025","107,9100","EUR","301,5510M","EUR"
"26 août 2025","107,8000","EUR","301,3090M","EUR"
"25 août 2025","108,8400","EUR","304,3788M","EUR"
"22 août 2025","109,5500","EUR","306,4304M","EUR"
"21 août 2025","109,2200","EUR","305,4845M","EUR"
"20 août 2025","109,4100","EUR","306,0088M","EUR"
"19 août 2025","109,1200","EUR","305,2127M","EUR"
"18 août 2025","108,0500","EUR","302,2332M","EUR"
"14 août 2025","108,0300","EUR","302,0155M","EUR"
"13 août 2025","107,1100","EUR","299,4223M","EUR"
"12 août 2025","106,2400","EUR","297,0422M","EUR"
"11 août 2025","106,4000","EUR","297,4791M","EUR"
"08 août 2025","106,5300","EUR","297,9013M","EUR"
"07 août 2025","106,4800","EUR","297,8103M","EUR"
"06 août 2025","105,0100","EUR","293,7492M","EUR"
"05 août 2025","105,4800","EUR","295,0693M","EUR"
"04 août 2025","105,5300","EUR","295,2075M","EUR"
"01 août 2025","104,5200","EUR","292,4095M","EUR"
"31 juil. 2025","106,6800","EUR","300,8014M","EUR"
"30 juil. 2025","107,8800","EUR","309,1184M","EUR"
"29 juil. 2025","107,6300","EUR","308,4673M","EUR"
"28 juil. 2025","107,3300","EUR","307,6386M","EUR"
"25 juil. 2025","107,3400","EUR","307,8830M","EUR"
"24 juil. 2025","108,0900","EUR","312,5712M","EUR"
"23 juil. 2025","107,7100","EUR","311,4682M","EUR"
"22 juil. 2025","106,8700","EUR","309,0743M","EUR"
"21 juil. 2025","107,4600","EUR","310,8225M","EUR"
"18 juil. 2025","107,7800","EUR","311,8778M","EUR"
"17 juil. 2025","108,0300","EUR","312,9767M","EUR"
"16 juil. 2025","106,9800","EUR","309,9122M","EUR"
"15 juil. 2025","107,6600","EUR","311,8812M","EUR"
"14 juil. 2025","107,9300","EUR","312,6507M","EUR"
"11 juil. 2025","107,8900","EUR","315,0455M","EUR"
"10 juil. 2025","109,0600","EUR","318,4025M","EUR"
"09 juil. 2025","108,5800","EUR","317,0067M","EUR"
"08 juil. 2025","107,8200","EUR","314,8433M","EUR"
"07 juil. 2025","107,4400","EUR","313,7074M","EUR"
"04 juil. 2025","106,9600","EUR","312,3936M","EUR"
"03 juil. 2025","107,4800","EUR","313,9261M","EUR"
"02 juil. 2025","107,1600","EUR","312,9768M","EUR"
"01 juil. 2025","107,1400","EUR","312,9095M","EUR"
"30 juin 2025","107,1800","EUR","313,0331M","EUR"
"27 juin 2025","107,7800","EUR","314,8660M","EUR"
"26 juin 2025","106,3300","EUR","310,6401M","EUR"
"25 juin 2025","106,6200","EUR","311,4701M","EUR"
"24 juin 2025","107,5000","EUR","314,1067M","EUR"
"20 juin 2025","106,1300","EUR","310,1070M","EUR"
"19 juin 2025","106,0500","EUR","309,8397M","EUR"
"18 juin 2025","106,9000","EUR","312,3266M","EUR"
"17 juin 2025","107,6000","EUR","314,3393M","EUR"
"16 juin 2025","108,8000","EUR","317,8637M","EUR"
"13 juin 2025","108,3900","EUR","316,6895M","EUR"
"12 juin 2025","109,5100","EUR","319,9803M","EUR"
"11 juin 2025","110,0500","EUR","321,5789M","EUR"
"10 juin 2025","110,2900","EUR","322,2815M","EUR"
"06 juin 2025","110,3700","EUR","322,6474M","EUR"
"05 juin 2025","109,9100","EUR","321,2600M","EUR"
"04 juin 2025","109,8600","EUR","321,3223M","EUR"
"03 juin 2025","109,2900","EUR","319,6516M","EUR"
"02 juin 2025","109,2100","EUR","319,3777M","EUR"
"30 mai 2025","109,6100","EUR","321,6574M","EUR"
"28 mai 2025","109,5900","EUR","321,5979M","EUR"
"27 mai 2025","110,4300","EUR","323,9714M","EUR"
"26 mai 2025","110,0300","EUR","322,7988M","EUR"
"23 mai 2025","109,0000","EUR","319,9892M","EUR"
"22 mai 2025","110,0600","EUR","323,0887M","EUR"
"21 mai 2025","110,7200","EUR","325,0038M","EUR"
"20 mai 2025","110,6400","EUR","324,7640M","EUR"
"19 mai 2025","109,9900","EUR","322,8476M","EUR"
"16 mai 2025","109,5900","EUR","321,8430M","EUR"
"15 mai 2025","109,2300","EUR","320,7751M","EUR"
"14 mai 2025","108,6200","EUR","319,0608M","EUR"
"13 mai 2025","108,7300","EUR","319,4733M","EUR"
"12 mai 2025","108,5600","EUR","318,9975M","EUR"
"08 mai 2025","106,9000","EUR","314,0948M","EUR"
"07 mai 2025","106,6300","EUR","313,2628M","EUR"
"06 mai 2025","107,2900","EUR","315,1946M","EUR"
"05 mai 2025","107,5900","EUR","316,0430M","EUR"
"02 mai 2025","107,3700","EUR","315,2258M","EUR"
"30 avr. 2025","105,2600","EUR","308,8896M","EUR"
"29 avr. 2025","104,6100","EUR","306,9753M","EUR"
"28 avr. 2025","104,1200","EUR","305,5480M","EUR"
"25 avr. 2025","103,6600","EUR","304,2738M","EUR"
"24 avr. 2025","103,2300","EUR","303,0452M","EUR"
"23 avr. 2025","102,6300","EUR","301,2810M","EUR"
"22 avr. 2025","100,5400","EUR","295,1071M","EUR"
"17 avr. 2025","100,2900","EUR","294,3757M","EUR"
"16 avr. 2025","100,5600","EUR","295,0807M","EUR"
"15 avr. 2025","100,9700","EUR","296,8604M","EUR"
"14 avr. 2025","99,2000","EUR","291,5999M","EUR"
"11 avr. 2025","96,9500","EUR","285,0956M","EUR"
"10 avr. 2025","96,9600","EUR","285,1312M","EUR"
"09 avr. 2025","93,5200","EUR","275,0342M","EUR"
"08 avr. 2025","96,6600","EUR","284,4563M","EUR"
"07 avr. 2025","94,3500","EUR","278,2095M","EUR"
