date,bench,perf,nav
1999-04-06,100.0,100.0,100.0
1999-04-07,101.25395,99.98889,99.98889
1999-04-08,101.834175,99.9963,99.9963
1999-04-09,103.04827,100.022224,100.022224
1999-04-12,101.73135,100.03333,100.03333
1999-04-13,103.20489,100.04074,100.04074
1999-04-14,103.86291,100.04815,100.04815
1999-04-15,105.38674,100.05926,100.05926
1999-04-16,109.23284,100.08518,100.08518
1999-04-19,113.22774,99.662964,99.662964
1999-04-20,111.114426,99.63333,99.63333
1999-04-21,110.52958,100.062965,100.062965
1999-04-22,111.76438,100.09259,100.09259
1999-04-23,112.22902,100.50741,100.50741
1999-04-26,113.926674,101.32593,101.32593
1999-04-27,114.468185,101.13704,101.13704
1999-04-28,113.64004,101.68519,101.68519
1999-04-29,112.95945,102.40741,102.40741
1999-04-30,113.899605,103.01852,103.01852
1999-05-03,114.173515,107.3037,107.3037
1999-05-04,116.099556,108.62963,108.62963
1999-05-05,115.963425,110.92963,110.92963
1999-05-06,117.10964,107.55185,107.55185
1999-05-07,114.5947,108.340744,108.340744
1999-05-10,115.12619,110.433334,110.433334
1999-05-11,114.54075,111.31852,111.31852
1999-05-13,114.86301,109.255554,109.255554
1999-05-17,111.93676,109.37037,109.37037
1999-05-18,112.59144,111.24074,111.24074
1999-05-19,111.220795,110.54074,110.54074
1999-05-20,111.042114,111.844444,111.844444
1999-05-24,111.786766,112.05926,112.05926
1999-05-25,110.93085,109.81481,109.81481
1999-05-26,112.564804,111.57037,111.57037
1999-05-27,112.35652,109.41852,109.41852
1999-05-28,111.41093,109.4,109.4
1999-05-31,112.05143,110.82593,110.82593
1999-06-01,113.413055,111.37408,111.37408
1999-06-02,115.75155,112.1,112.1
1999-06-03,115.739784,113.22593,113.22593
1999-06-04,116.88388,112.437035,112.437035
1999-06-07,120.106415,114.618515,114.618515
1999-06-08,120.55665,116.28519,116.28519
1999-06-09,120.15296,117.99259,117.99259
1999-06-10,121.47134,119.40741,119.40741
1999-06-11,121.99795,119.9963,119.9963
1999-06-14,121.29515,119.39259,119.39259
1999-06-15,121.0481,118.95926,118.95926
1999-06-16,124.08351,121.796295,121.796295
1999-06-17,126.24485,122.68519,122.68519
1999-06-18,125.32993,124.76667,124.76667
1999-06-21,129.39444,126.44815,126.44815
1999-06-23,130.07758,129.87407,129.87407
1999-06-24,129.0871,129.42223,129.42223
1999-06-25,126.940994,129.07408,129.07408
1999-06-28,129.4283,127.35555,127.35555
1999-06-29,130.41435,128.78519,128.78519
1999-06-30,129.28044,131.4926,131.4926
1999-07-02,134.57956,132.77037,132.77037
1999-07-05,136.27234,133.02963,133.02963
1999-07-06,135.73872,132.58519,132.58519
1999-07-07,135.3082,130.0963,130.0963
1999-07-08,135.24533,129.59259,129.59259
1999-07-09,135.85591,128.2,128.2
1999-07-12,136.55243,130.47408,130.47408
1999-07-13,135.07588,128.64075,128.64075
1999-07-14,132.99141,126.703705,126.703705
1999-07-15,133.93675,127.92963,127.92963
1999-07-16,133.04472,127.09259,127.09259
1999-07-19,134.40909,125.17037,125.17037
1999-07-20,131.51768,125.3,125.3
1999-07-21,128.99681,125.05185,125.05185
1999-07-23,124.77519,121.744446,121.744446
1999-07-26,120.76182,118.348145,118.348145
1999-07-27,122.23451,117.474075,117.474075
1999-07-28,124.71493,119.159256,119.159256
1999-07-29,125.53744,120.85555,120.85555
1999-07-30,125.62507,119.95556,119.95556
1999-08-02,125.40575,119.3037,119.3037
1999-08-03,126.39326,118.57407,118.57407
1999-08-04,124.985176,117.81481,117.81481
1999-08-05,121.93309,114.98148,114.98148
1999-08-06,120.85882,112.77778,112.77778
1999-08-09,121.69467,110.01482,110.01482
1999-08-10,121.26645,108.00741,108.00741
1999-08-11,119.8187,105.837036,105.837036
1999-08-12,121.404686,109.00741,109.00741
1999-08-13,121.40295,108.8,108.8
1999-08-16,124.20302,110.01852,110.01852
1999-08-18,125.40791,109.651855,109.651855
1999-08-19,125.45074,116.337036,116.337036
1999-08-20,127.17867,119.755554,119.755554
1999-08-23,129.87961,121.37037,121.37037
1999-08-24,130.50485,121.77778,121.77778
1999-08-25,132.27875,122.97037,122.97037
1999-08-26,132.46567,122.85185,122.85185
1999-08-27,131.51622,122.73333,122.73333
1999-08-30,132.31108,123.48889,123.48889
1999-08-31,129.43199,122.8,122.8
1999-09-01,129.53917,122.49259,122.49259
1999-09-02,127.413345,122.4,122.4
1999-09-03,127.66079,122.52963,122.52963
1999-09-06,129.91626,124.21111,124.21111
1999-09-07,128.52937,123.14074,123.14074
1999-09-08,127.86489,122.51852,122.51852
1999-09-09,131.16948,123.97037,123.97037
1999-09-10,133.05081,125.025925,125.025925
1999-09-13,136.1517,126.111115,126.111115
1999-09-14,134.8789,125.55556,125.55556
1999-09-15,133.75931,125.39259,125.39259
1999-09-16,131.25992,124.00741,124.00741
1999-09-17,131.23628,124.21481,124.21481
1999-09-20,131.79364,125.0,125.0
1999-09-21,132.2183,125.72593,125.72593
1999-09-22,129.63574,124.87037,124.87037
1999-09-23,130.3277,124.54074,124.54074
1999-09-24,128.12645,119.92963,119.92963
1999-09-27,125.60064,117.611115,117.611115
1999-09-28,125.62228,119.10741,119.10741
1999-09-29,123.751526,118.78889,118.78889
1999-09-30,123.58879,119.45185,119.45185
1999-10-01,124.10568,121.255554,121.255554
1999-10-04,123.20582,120.35185,120.35185
1999-10-05,123.38335,120.27778,120.27778
1999-10-06,124.50541,122.77407,122.77407
1999-10-07,125.76923,123.977776,123.977776
1999-10-08,126.72535,125.18148,125.18148
1999-10-11,126.72253,126.21852,126.21852
1999-10-12,126.47643,126.937035,126.937035
1999-10-13,124.4106,125.04815,125.04815
1999-10-14,125.18258,124.92963,124.92963
1999-10-15,122.61739,122.95556,122.95556
1999-10-18,120.95153,119.82593,119.82593
1999-10-19,120.868355,117.837036,117.837036
1999-10-20,123.5007,119.751854,119.751854
1999-10-21,122.989265,120.60371,120.60371
1999-10-22,125.143135,121.55926,121.55926
1999-10-25,125.688034,122.9,122.9
1999-10-26,126.6684,122.71111,122.71111
1999-10-27,126.494774,123.1,123.1
1999-10-28,127.11911,123.27037,123.27037
1999-10-29,129.59047,125.55185,125.55185
1999-11-02,131.73286,125.344444,125.344444
1999-11-03,131.35162,125.54815,125.54815
1999-11-04,133.94763,128.65555,128.65555
1999-11-05,133.91187,130.62962,130.62962
1999-11-08,134.11917,128.86667,128.86667
1999-11-09,134.71524,130.96666,130.96666
1999-11-10,135.24557,132.79259,132.79259
1999-11-11,136.0862,133.15555,133.15555
1999-11-15,139.16638,140.55927,140.55927
1999-11-16,139.80797,140.36667,140.36667
1999-11-17,138.09506,136.65186,136.65186
1999-11-18,139.88855,138.21481,138.21481
1999-11-19,142.16814,140.04814,140.04814
1999-11-22,142.86139,141.88889,141.88889
1999-11-23,143.47833,141.03334,141.03334
