date,bench,perf,nav
2006-06-12,100.0,100.0,100.0
2006-06-13,98.00088,100.0,100.0
2006-06-14,97.99445,99.986664,99.986664
2006-06-15,99.97309,100.8,100.8
2006-06-16,99.30304,100.7,100.7
2006-06-19,99.90061,100.933334,100.933334
2006-06-20,100.63457,100.90667,100.90667
2006-06-21,100.67769,100.64667,100.64667
2006-06-22,100.94283,101.04,101.04
2006-06-23,101.120514,101.13333,101.13333
2006-06-26,100.60827,101.03333,101.03333
2006-06-27,99.88807,100.706665,100.706665
2006-06-28,100.181656,100.82667,100.82667
2006-06-29,101.96885,101.513336,101.513336
2006-06-30,103.330956,102.36667,102.36667
2006-07-03,103.87929,102.86667,102.86667
2006-07-04,104.06094,103.05334,103.05334
2006-07-05,102.931564,102.32667,102.32667
2006-07-06,104.10743,102.9,102.9
2006-07-07,103.93984,102.64,102.64
2006-07-10,104.3426,102.68,102.68
2006-07-11,103.37866,102.08,102.08
2006-07-12,103.38142,102.48,102.48
2006-07-13,101.95723,101.4,101.4
2006-07-17,100.652,100.42667,100.42667
2006-07-18,100.55261,100.04667,100.04667
2006-07-19,102.685074,101.5,101.5
2006-07-20,102.69088,101.73333,101.73333
2006-07-21,101.897285,101.18667,101.18667
2006-07-24,104.06431,102.49333,102.49333
2006-07-25,103.922714,102.73333,102.73333
2006-07-26,104.19887,103.04667,103.04667
2006-07-27,105.24384,103.26,103.26
2006-07-28,106.10961,103.72,103.72
2006-07-31,105.48085,103.78667,103.78667
2006-08-01,104.431595,103.32667,103.32667
2006-08-02,105.40715,103.92667,103.92667
2006-08-03,104.490005,103.27333,103.27333
2006-08-04,105.91725,103.58667,103.58667
2006-08-07,104.641075,102.94666,102.94666
2006-08-08,104.63527,102.86667,102.86667
2006-08-09,105.69492,103.12,103.12
2006-08-10,104.81723,102.73333,102.73333
2006-08-11,104.81539,102.973335,102.973335
2006-08-14,105.82796,103.44,103.44
2006-08-16,107.01177,104.42667,104.42667
2006-08-17,106.9662,104.333336,104.333336
2006-08-18,106.645096,104.08667,104.08667
2006-08-21,106.62981,103.92667,103.92667
2006-08-22,107.037766,104.066666,104.066666
2006-08-23,106.505035,103.973335,103.973335
2006-08-24,106.859474,104.32,104.32
2006-08-25,107.00137,104.26,104.26
2006-08-28,107.4763,104.68,104.68
2006-08-29,107.57386,105.22,105.22
2006-08-30,108.11149,105.82,105.82
2006-08-31,107.73595,105.59333,105.59333
2006-09-01,108.159805,105.95333,105.95333
2006-09-04,108.543,106.433334,106.433334
2006-09-05,108.1751,106.14667,106.14667
2006-09-06,106.8763,105.36667,105.36667
2006-09-07,105.861595,104.72667,104.72667
2006-09-08,106.20472,105.05334,105.05334
2006-09-11,105.630394,104.45333,104.45333
2006-09-12,107.02156,105.346664,105.346664
2006-09-13,107.2396,105.40667,105.40667
2006-09-14,106.93134,105.206665,105.206665
2006-09-15,107.13074,105.333336,105.333336
2006-09-18,107.164375,105.50667,105.50667
2006-09-19,106.44173,105.31333,105.31333
2006-09-20,107.77203,105.9,105.9
2006-09-21,108.21791,106.02,106.02
2006-09-22,106.963455,105.14,105.14
2006-09-25,106.93532,105.14667,105.14667
2006-09-26,108.32587,105.64667,105.64667
2006-09-27,108.655846,106.12666,106.12666
2006-09-28,108.672966,106.16,106.16
2006-09-29,108.59682,106.08667,106.08667
2006-10-02,108.6378,105.886665,105.886665
2006-10-03,108.413635,105.86,105.86
2006-10-04,109.28185,106.653336,106.653336
2006-10-05,109.791954,107.28667,107.28667
2006-10-06,110.08554,107.333336,107.333336
2006-10-09,110.2519,107.27333,107.27333
2006-10-10,111.025314,107.69334,107.69334
2006-10-11,111.16874,107.89333,107.89333
2006-10-12,112.133286,107.986664,107.986664
2006-10-13,112.51586,107.95333,107.95333
2006-10-16,112.6703,108.22,108.22
2006-10-17,111.54918,107.71333,107.71333
2006-10-18,112.53727,108.50667,108.50667
2006-10-19,112.43237,108.473335,108.473335
2006-10-20,112.71495,108.66,108.66
2006-10-23,113.22689,109.04,109.04
2006-10-24,113.10028,109.09333,109.09333
2006-10-25,113.41191,109.22667,109.22667
2006-10-26,113.07001,109.066666,109.066666
2006-10-27,112.825966,108.78,108.78
2006-10-30,112.43788,108.66,108.66
2006-10-31,112.208824,108.72,108.72
2006-11-02,112.21586,108.886665,108.886665
2006-11-03,112.513725,108.89333,108.89333
2006-11-06,113.77797,109.32,109.32
2006-11-07,114.35749,109.513336,109.513336
2006-11-08,114.10183,109.433334,109.433334
2006-11-09,113.67736,109.64667,109.64667
2006-11-10,113.2804,109.86,109.86
2006-11-13,113.322,110.153336,110.153336
2006-11-14,112.96572,109.973335,109.973335
2006-11-15,113.59295,110.54667,110.54667
2006-11-16,113.7792,110.73333,110.73333
2006-11-17,112.84523,110.44,110.44
2006-11-20,113.25686,110.55334,110.55334
2006-11-21,113.20303,110.84,110.84
2006-11-22,112.87704,110.846664,110.846664
2006-11-23,112.60394,111.02,111.02
2006-11-24,111.64826,110.41333,110.41333
2006-11-27,109.986145,108.96,108.96
2006-11-28,109.83905,108.653336,108.653336
2006-11-29,111.00146,109.5,109.5
2006-11-30,110.155266,108.96,108.96
2006-12-01,109.06594,108.66,108.66
2006-12-04,109.724365,109.12666,109.12666
2006-12-05,110.36872,109.09333,109.09333
2006-12-06,110.426216,108.96,108.96
2006-12-07,110.88984,109.19334,109.19334
2006-12-08,110.99014,109.513336,109.513336
2006-12-11,111.631744,109.986664,109.986664
2006-12-12,112.075485,110.26667,110.26667
2006-12-13,112.783455,111.04,111.04
2006-12-14,113.59631,111.566666,111.566666
2006-12-15,114.12782,111.98,111.98
2006-12-18,113.80641,112.13333,112.13333
2006-12-19,112.97979,111.566666,111.566666
2006-12-20,113.17276,111.91333,111.91333
2006-12-21,112.983154,111.86667,111.86667
2006-12-22,112.397514,111.50667,111.50667
2006-12-27,113.68439,112.28667,112.28667
2006-12-28,113.60304,112.16,112.16
2006-12-29,113.06725,112.346664,112.346664
2007-01-02,114.59419,112.99333,112.99333
2007-01-03,114.90736,113.21333,113.21333
2007-01-04,114.97341,112.94666,112.94666
2007-01-05,113.84372,113.10667,113.10667
2007-01-08,113.5957,113.526665,113.526665
2007-01-09,113.68164,113.85333,113.85333
2007-01-10,112.77275,113.36,113.36
2007-01-11,114.821724,114.45333,114.45333
2007-01-12,115.354454,114.52,114.52
2007-01-15,115.9615,115.18,115.18
2007-01-16,115.22785,114.95333,114.95333
2007-01-17,114.99053,115.19334,115.19334
2007-01-18,114.783806,115.04,115.04
2007-01-19,115.64315,115.24,115.24
2007-01-22,114.895424,115.34,115.34
2007-01-23,115.05537,115.10667,115.10667
2007-01-24,116.17894,115.26667,115.26667
2007-01-25,115.89239,115.13333,115.13333
2007-01-26,114.9624,114.78,114.78
2007-01-29,115.15476,115.34,115.34
2007-01-30,115.736115,115.793335,115.793335
2007-01-31,115.014694,115.67333,115.67333
2007-02-01,116.37497,116.526665,116.526665
2007-02-02,116.80189,116.91333,116.91333
2007-02-05,116.94654,117.38,117.38
2007-02-06,117.282936,117.846664,117.846664
2007-02-07,117.411995,117.92,117.92
2007-02-08,116.34867,117.433334,117.433334
2007-02-09,116.86672,117.973335,117.973335
2007-02-12,116.32267,117.513336,117.513336
2007-02-13,116.695465,117.82,117.82
2007-02-14,117.4701,118.54,118.54
2007-02-15,117.16336,119.026665,119.026665
2007-02-16,117.03798,119.0,119.0
2007-02-19,117.39028,119.50667,119.50667
