date,bench,perf,nav
2010-09-29,100.0,100.0,100.0
2010-09-30,99.2632,99.16,99.16
2010-10-01,98.844,98.74,98.74
2010-10-04,98.4775,98.23,98.23
2010-10-05,99.3613,99.16,99.16
2010-10-06,98.802,98.58,98.58
2010-10-07,98.3416,98.19,98.19
2010-10-08,99.1643,99.07,99.07
2010-10-11,99.4643,99.42,99.42
2010-10-12,100.275,100.38,100.38
2010-10-13,100.227,100.3,100.3
2010-10-14,99.2121,99.39,99.39
2010-10-15,100.523,100.64,100.64
2010-10-18,101.219,101.5,101.5
2010-10-19,100.809,101.1,101.1
2010-10-20,100.53,100.98,100.98
2010-10-21,100.646,100.89,100.89
2010-10-22,101.616,101.76,101.76
2010-10-25,101.585,101.76,101.76
2010-10-26,102.492,102.38,102.38
2010-10-27,102.959,103.22,103.22
2010-10-28,102.053,102.65,102.65
2010-10-29,102.157,102.76,102.76
2010-11-02,102.405,102.91,102.91
2010-11-03,102.82,103.49,103.49
2010-11-04,103.138,103.79,103.79
2010-11-05,104.805,105.21,105.21
2010-11-08,105.763,106.38,106.38
2010-11-09,105.085,105.52,105.52
2010-11-10,107.229,107.54,107.54
2010-11-11,106.984,107.4,107.4
2010-11-12,105.244,105.7,105.7
2010-11-15,105.888,106.33,106.33
2010-11-16,104.486,104.75,104.75
2010-11-17,104.803,104.89,104.89
2010-11-18,106.01,106.34,106.34
2010-11-19,106.049,106.76,106.76
2010-11-22,106.752,107.41,107.41
2010-11-23,106.685,107.27,107.27
2010-11-24,108.861,109.25,109.25
2010-11-26,109.631,109.89,109.89
2010-11-29,110.425,110.78,110.78
2010-11-30,110.341,110.7,110.7
2010-12-01,112.381,112.62,112.62
2010-12-02,112.67,112.84,112.84
2010-12-03,111.232,111.57,111.57
2010-12-06,111.973,112.16,112.16
2010-12-07,111.459,111.59,111.59
2010-12-08,112.81,112.94,112.94
2010-12-09,113.316,113.41,113.41
2010-12-10,113.501,113.63,113.63
2010-12-13,111.965,112.38,112.38
2010-12-14,112.129,112.65,112.65
2010-12-15,112.143,112.37,112.37
2010-12-16,114.019,114.69,114.69
2010-12-17,114.622,115.63,115.63
2010-12-20,115.253,116.43,116.43
2010-12-21,115.536,116.74,116.74
2010-12-22,115.931,116.97,116.97
2010-12-23,116.035,117.03,117.03
2010-12-27,115.285,116.2,116.2
2010-12-28,115.451,116.23,116.23
2010-12-29,115.687,116.34,116.34
2010-12-30,114.283,114.81,114.81
2010-12-31,112.965,113.5,113.5
2011-01-03,114.575,115.36,115.36
2011-01-04,114.492,115.47,115.47
2011-01-05,116.564,117.75,117.75
2011-01-06,117.543,118.61,118.61
2011-01-07,117.963,119.01,119.01
2011-01-10,118.416,119.63,119.63
2011-01-11,118.983,120.08,120.08
2011-01-12,118.762,119.71,119.71
2011-01-13,116.296,117.18,117.18
2011-01-14,116.818,118.0,118.0
2011-01-18,117.08,117.98,117.98
2011-01-19,115.052,116.02,116.02
2011-01-20,115.199,116.04,116.04
2011-01-21,113.639,114.5,114.5
2011-01-24,113.821,114.59,114.59
2011-01-25,113.927,114.63,114.63
2011-01-26,114.553,115.25,115.25
2011-01-27,114.513,114.94,114.94
2011-01-28,113.147,113.79,113.79
2011-01-31,113.35,114.05,114.05
2011-02-01,114.434,115.31,115.31
2011-02-02,114.095,114.9,114.9
2011-02-03,115.943,116.64,116.64
2011-02-04,117.174,117.87,117.87
2011-02-07,117.93,118.69,118.69
2011-02-08,117.331,118.14,118.14
2011-02-09,116.841,117.8,117.8
2011-02-10,117.861,119.35,119.35
2011-02-11,119.016,120.45,120.45
2011-02-14,120.279,121.4,121.4
2011-02-15,119.276,120.41,120.41
2011-02-16,120.117,121.39,121.39
2011-02-17,119.818,121.01,121.01
2011-02-18,119.505,120.65,120.65
2011-02-22,116.424,117.32,117.32
2011-02-23,114.809,115.56,115.56
2011-02-24,114.618,115.4,115.4
2011-02-25,116.359,117.07,117.07
2011-02-28,116.197,117.07,117.07
2011-03-01,114.251,114.92,114.92
2011-03-02,114.177,114.65,114.65
2011-03-03,115.692,116.45,116.45
2011-03-04,114.557,114.99,114.99
2011-03-07,113.163,113.52,113.52
2011-03-08,114.856,115.38,115.38
2011-03-09,114.345,114.87,114.87
2011-03-10,113.228,113.67,113.67
2011-03-11,113.704,114.06,114.06
2011-03-14,112.008,112.28,112.28
2011-03-15,110.838,110.96,110.96
2011-03-16,109.036,108.99,108.99
2011-03-17,109.469,109.53,109.53
2011-03-18,108.75,108.7,108.7
2011-03-21,110.289,110.27,110.27
2011-03-22,109.693,109.6,109.6
2011-03-23,110.901,110.67,110.67
2011-03-24,111.554,111.36,111.36
2011-03-25,112.369,112.24,112.24
2011-03-28,112.341,112.17,112.17
2011-03-29,113.515,113.2,113.2
2011-03-30,114.033,113.63,113.63
2011-03-31,113.231,112.74,112.74
2011-04-01,114.129,113.58,113.58
2011-04-04,113.435,112.72,112.72
2011-04-05,113.759,113.09,113.09
2011-04-06,112.768,111.97,111.97
2011-04-07,113.095,112.27,112.27
2011-04-08,111.436,110.89,110.89
2011-04-11,110.981,110.53,110.53
2011-04-12,109.754,109.54,109.54
2011-04-13,110.065,109.87,109.87
2011-04-14,110.4,110.32,110.32
2011-04-15,111.031,110.97,110.97
2011-04-18,111.539,111.52,111.52
2011-04-19,111.33,111.28,111.28
2011-04-20,111.757,111.39,111.39
2011-04-21,112.163,111.95,111.95
2011-04-26,112.465,112.5,112.5
2011-04-27,112.987,112.95,112.95
2011-04-28,111.751,111.86,111.86
2011-04-29,111.936,112.38,112.38
2011-05-02,111.27,111.674,111.674
2011-05-03,111.037,111.347,111.347
2011-05-04,110.038,110.183,110.183
2011-05-05,111.26,111.508,111.508
2011-05-06,112.493,112.729,112.729
2011-05-09,115.085,115.359,115.359
2011-05-10,115.259,115.533,115.533
2011-05-11,114.628,114.816,114.816
2011-05-12,116.096,116.241,116.241
2011-05-13,115.057,115.305,115.305
2011-05-16,113.809,114.027,114.027
2011-05-17,114.068,114.177,114.177
2011-05-18,114.585,114.684,114.684
2011-05-19,114.89,115.37,115.37
2011-05-20,114.905,115.641,115.641
2011-05-23,114.529,115.298,115.298
2011-05-24,113.725,114.319,114.319
2011-05-25,114.539,115.003,115.003
2011-05-26,114.901,115.459,115.459
2011-05-27,113.992,114.376,114.376
2011-05-31,114.259,114.614,114.614
2011-06-01,111.418,111.768,111.768
2011-06-03,109.049,109.382,109.382
2011-06-06,107.744,107.854,107.854
2011-06-07,107.088,107.27,107.27
2011-06-08,107.043,107.222,107.222
2011-06-09,108.442,108.671,108.671
2011-06-10,107.838,108.135,108.135
2011-06-14,108.399,108.882,108.882
2011-06-15,107.982,108.306,108.306
2011-06-16,109.066,109.404,109.404
2011-06-17,107.9,108.159,108.159
2011-06-20,108.566,108.817,108.817
2011-06-21,109.866,110.005,110.005
2011-06-22,108.681,108.605,108.605
2011-06-24,109.352,109.489,109.489
2011-06-27,109.568,109.779,109.779
2011-06-28,110.797,111.056,111.056
2011-06-29,111.257,111.135,111.135
2011-06-30,111.67,111.488,111.488
2011-07-01,113.395,113.185,113.185
2011-07-05,113.782,113.475,113.475
2011-07-06,115.553,115.12,115.12
2011-07-07,116.305,116.186,116.186
2011-07-08,116.614,116.443,116.443
2011-07-11,116.78,116.419,116.419
2011-07-12,116.135,115.499,115.499
2011-07-13,115.133,114.479,114.479
2011-07-14,114.219,113.553,113.553
2011-07-15,115.604,114.865,114.865
2011-07-18,115.555,114.955,114.955
2011-07-19,116.512,115.733,115.733
2011-07-20,116.03,115.113,115.113
2011-07-21,115.653,114.774,114.774
2011-07-22,116.174,115.554,115.554
2011-07-25,115.821,115.202,115.202
2011-07-26,114.153,113.666,113.666
2011-07-27,112.334,111.732,111.732
2011-07-28,112.7,111.895,111.895
2011-07-29,111.538,110.716,110.716
2011-08-01,112.355,111.542,111.542
2011-08-02,109.264,108.257,108.257
2011-08-03,109.527,108.424,108.424
2011-08-04,104.98,104.136,104.136
2011-08-05,104.524,103.248,103.248
2011-08-08,97.85,96.5224,96.5224
2011-08-09,102.208,100.929,100.929
2011-08-10,98.4656,96.9076,96.9076
2011-08-11,102.153,100.505,100.505
2011-08-12,103.542,101.952,101.952
2011-08-16,102.988,101.289,101.289
2011-08-17,102.413,100.556,100.556
2011-08-18,98.3668,96.4,96.4
2011-08-19,96.1451,94.1563,94.1563
2011-08-22,96.6134,94.747,94.747
2011-08-23,100.351,98.4923,98.4923
2011-08-24,101.293,99.3684,99.3684
2011-08-25,99.8959,97.8404,97.8404
2011-08-26,101.987,99.7523,99.7523
2011-08-29,103.53,101.238,101.238
2011-08-30,104.78,102.192,102.192
2011-08-31,105.447,102.813,102.813
2011-09-01,105.355,102.621,102.621
2011-09-02,103.154,100.348,100.348
2011-09-06,103.957,101.034,101.034
2011-09-07,106.825,104.046,104.046
2011-09-08,106.001,103.106,103.106
2011-09-09,105.35,102.439,102.439
2011-09-12,106.844,104.06,104.06
2011-09-13,107.488,104.986,104.986
2011-09-14,109.212,106.799,106.799
2011-09-15,109.476,107.21,107.21
2011-09-16,110.603,108.484,108.484
2011-09-19,111.349,109.307,109.307
2011-09-20,110.096,107.964,107.964
2011-09-21,107.431,105.581,105.581
2011-09-22,105.414,103.565,103.565
2011-09-23,105.578,104.221,104.221
2011-09-26,108.075,106.744,106.744
2011-09-27,108.056,106.359,106.359
2011-09-28,106.057,104.5,104.5
2011-09-29,105.731,104.099,104.099
2011-09-30,104.818,103.018,103.018
2011-10-03,102.977,101.326,101.326
2011-10-04,105.298,103.54,103.54
2011-10-05,107.058,105.21,105.21
2011-10-06,108.216,106.419,106.419
2011-10-07,106.829,104.936,104.936
2011-10-10,109.11,107.235,107.235
2011-10-11,109.563,107.744,107.744
2011-10-12,109.164,107.394,107.394
2011-10-13,110.057,108.372,108.372
2011-10-14,110.937,109.362,109.362
2011-10-17,109.619,107.904,107.904
2011-10-18,112.003,110.377,110.377
2011-10-19,109.3,107.368,107.368
2011-10-20,110.304,108.409,108.409
2011-10-21,110.739,108.458,108.458
2011-10-24,112.672,110.393,110.393
2011-10-25,110.254,107.825,107.825
2011-10-26,111.769,109.248,109.248
2011-10-27,112.683,110.242,110.242
2011-10-28,112.589,110.264,110.264
2011-10-31,111.893,109.392,109.392
2011-11-03,114.634,111.911,111.911
2011-11-04,114.061,111.011,111.011
2011-11-07,114.601,111.345,111.345
2011-11-08,115.404,112.153,112.153
2011-11-09,113.129,109.838,109.838
2011-11-10,113.765,110.606,110.606
2011-11-11,114.754,111.657,111.657
2011-11-14,114.825,111.721,111.721
2011-11-15,116.583,113.68,113.68
2011-11-16,114.737,111.663,111.663
2011-11-17,112.734,109.471,109.471
2011-11-18,112.387,109.236,109.236
2011-11-21,110.942,107.615,107.615
2011-11-22,110.506,107.137,107.137
2011-11-23,109.283,105.853,105.853
2011-11-25,109.476,105.804,105.804
2011-11-28,112.226,108.729,108.729
2011-11-29,112.474,108.917,108.917
2011-11-30,115.926,112.268,112.268
2011-12-01,115.901,112.428,112.428
2011-12-02,115.994,112.356,112.356
2011-12-05,116.766,113.083,113.083
2011-12-06,117.395,113.595,113.595
2011-12-07,117.194,113.469,113.469
2011-12-08,115.724,111.771,111.771
2011-12-09,117.189,113.123,113.123
2011-12-12,116.916,112.75,112.75
2011-12-13,116.79,112.433,112.433
2011-12-14,116.31,111.96,111.96
2011-12-15,116.166,111.691,111.691
2011-12-16,116.176,111.666,111.666
2011-12-19,115.207,110.455,110.455
